objectid,date,title,meeting_type,document_type,location,format
12-09-19-city_council_workshop-agenda,12/09/19,City Council Workshop - 12/09/19,City Council Workshop,Agenda PDF,1 Municipal Plaza - Courtroom,application/pdf
12-02-19-city_council_meeting-agenda,12/02/19,City Council Meeting - 12/02/19,City Council Meeting,Agenda PDF,1 Municipal Plaza - Courtroom,application/pdf
12-02-19-city_council_meeting-minutes,12/02/19,City Council Meeting - 12/02/19,City Council Meeting,Minutes PDF,1 Municipal Plaza - Courtroom,application/pdf
11-25-19-city_council_workshop-agenda,11/25/19,City Council Workshop - 11/25/19,City Council Workshop,Agenda PDF,1 Municipal Plaza - Courtroom,application/pdf
11-19-19-zoning_board_of_appeals_meeting-agenda,11/19/19,Zoning Board of Appeals Meeting - 11/19/19,Zoning Board of Appeals Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
11-19-19-zoning_board_of_appeals_meeting-minutes,11/19/19,Zoning Board of Appeals Meeting - 11/19/19,Zoning Board of Appeals Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
11-18-19-city_council_meeting-agenda,11/18/19,City Council Meeting - 11/18/19,City Council Meeting,Agenda PDF,1 Municipal Plaza - Courtroom,application/pdf
11-13-19-planning_board_meeting-agenda,11/13/19,Planning Board Meeting - 11/13/19,Planning Board Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
11-13-19-planning_board_meeting-minutes,11/13/19,Planning Board Meeting - 11/13/19,Planning Board Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
11-12-19-city_council_workshop-agenda,11/12/19,City Council Workshop - 11/12/19,City Council Workshop,Agenda PDF,1 Municipal Plaza - Courtroom,application/pdf
11-04-19-city_council_meeting-agenda,11/04/19,City Council Meeting - 11/04/19,City Council Meeting,Agenda PDF,1 Municipal Plaza - Courtroom,application/pdf
10-28-19-city_council_workshop-agenda,10/28/19,City Council Workshop - 10/28/19,City Council Workshop,Agenda PDF,1 Municipal Plaza - Courtroom,application/pdf
10-21-19-city_council_meeting-agenda,10/21/19,City Council Meeting - 10/21/19,City Council Meeting,Agenda PDF,1 Municipal Plaza - Courtroom,application/pdf
10-21-19-city_council_meeting-minutes,10/21/19,City Council Meeting - 10/21/19,City Council Meeting,Minutes PDF,1 Municipal Plaza - Courtroom,application/pdf
10-16-19-zoning_board_of_appeals_meeting-agenda,10/16/19,Zoning Board of Appeals Meeting - 10/16/19,Zoning Board of Appeals Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
10-16-19-zoning_board_of_appeals_meeting-minutes,10/16/19,Zoning Board of Appeals Meeting - 10/16/19,Zoning Board of Appeals Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
10-15-19-city_council_workshop-agenda,10/15/19,City Council Workshop - 10/15/19,City Council Workshop,Agenda PDF,1 Municipal Plaza - Courtroom,application/pdf
10-08-19-planning_board_meeting-agenda,10/08/19,Planning Board Meeting - 10/08/19,Planning Board Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
10-08-19-planning_board_meeting-minutes,10/08/19,Planning Board Meeting - 10/08/19,Planning Board Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
10-07-19-city_council_meeting-agenda,10/07/19,City Council Meeting - 10/07/19,City Council Meeting,Agenda PDF,1 Municipal Plaza - Courtroom,application/pdf
10-07-19-city_council_meeting-minutes,10/07/19,City Council Meeting - 10/07/19,City Council Meeting,Minutes PDF,1 Municipal Plaza - Courtroom,application/pdf
09-30-19-city_council_workshop-agenda,09/30/19,City Council Workshop - 09/30/19,City Council Workshop,Agenda PDF,1 Municipal Plaza - Courtroom,application/pdf
09-17-19-zoning_board_of_appeals_meeting-agenda,09/17/19,Zoning Board of Appeals Meeting - 09/17/19,Zoning Board of Appeals Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
09-17-19-zoning_board_of_appeals_meeting-minutes,09/17/19,Zoning Board of Appeals Meeting - 09/17/19,Zoning Board of Appeals Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
09-16-19-city_council_meeting-agenda,09/16/19,City Council Meeting - 09/16/19,City Council Meeting,Agenda PDF,1 Municipal Plaza - Courtroom,application/pdf
09-16-19-city_council_meeting-minutes,09/16/19,City Council Meeting - 09/16/19,City Council Meeting,Minutes PDF,1 Municipal Plaza - Courtroom,application/pdf
09-10-19-planning_board_meeting-agenda,09/10/19,Planning Board Meeting - 09/10/19,Planning Board Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
09-10-19-planning_board_meeting-minutes,09/10/19,Planning Board Meeting - 09/10/19,Planning Board Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
09-09-19-city_council_workshop-agenda,09/09/19,City Council Workshop - 09/09/19,City Council Workshop,Agenda PDF,1 Municipal Plaza - Courtroom,application/pdf
09-03-19-city_council_meeting-agenda,09/03/19,City Council Meeting - 09/03/19,City Council Meeting,Agenda PDF,1 Municipal Plaza - Courtroom,application/pdf
09-03-19-city_council_meeting-minutes,09/03/19,City Council Meeting - 09/03/19,City Council Meeting,Minutes PDF,1 Municipal Plaza - Courtroom,application/pdf
08-26-19-city_council_workshop-agenda,08/26/19,City Council Workshop - 08/26/19,City Council Workshop,Agenda PDF,1 Municipal Plaza - Courtroom,application/pdf
08-20-19-zoning_board_of_appeals_meeting-agenda,08/20/19,Zoning Board of Appeals Meeting - 08/20/19,Zoning Board of Appeals Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
08-20-19-zoning_board_of_appeals_meeting-minutes,08/20/19,Zoning Board of Appeals Meeting - 08/20/19,Zoning Board of Appeals Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
08-19-19-city_council_meeting-agenda,08/19/19,City Council Meeting - 08/19/19,City Council Meeting,Agenda PDF,City Hall Conference Room: 1 Municipal P...,application/pdf
08-19-19-city_council_meeting-minutes,08/19/19,City Council Meeting - 08/19/19,City Council Meeting,Minutes PDF,City Hall Conference Room: 1 Municipal P...,application/pdf
08-13-19-planning_board_meeting-agenda,08/13/19,Planning Board Meeting - 08/13/19,Planning Board Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
08-13-19-planning_board_meeting-minutes,08/13/19,Planning Board Meeting - 08/13/19,Planning Board Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
08-12-19-city_council_workshop-agenda,08/12/19,City Council Workshop - 08/12/19,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
08-05-19-city_council_meeting-agenda,08/05/19,City Council Meeting - 08/05/19,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
08-05-19-city_council_meeting-minutes,08/05/19,City Council Meeting - 08/05/19,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
07-29-19-city_council_workshop-agenda,07/29/19,City Council Workshop - 07/29/19,City Council Workshop,Agenda PDF,1 Municipal Plaza - Courtroom,application/pdf
07-16-19-zoning_board_of_appeals_meeting-agenda,07/16/19,Zoning Board of Appeals Meeting - 07/16/19,Zoning Board of Appeals Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
07-16-19-zoning_board_of_appeals_meeting-minutes,07/16/19,Zoning Board of Appeals Meeting - 07/16/19,Zoning Board of Appeals Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
07-15-19-city_council_meeting-agenda,07/15/19,City Council Meeting - 07/15/19,City Council Meeting,Agenda PDF,1 Municipal Plaza - Courtroom,application/pdf
07-15-19-city_council_meeting-minutes,07/15/19,City Council Meeting - 07/15/19,City Council Meeting,Minutes PDF,1 Municipal Plaza - Courtroom,application/pdf
