objectid,date,title,meeting_type,document_type,location,format
09-18-17-city_council_meeting-agenda,09/18/17,City Council Meeting - 09/18/17,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
09-18-17-city_council_meeting-minutes,09/18/17,City Council Meeting - 09/18/17,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
09-12-17-planning_board_meeting-agenda,09/12/17,Planning Board Meeting - 09/12/17,Planning Board Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
09-12-17-planning_board_meeting-minutes,09/12/17,Planning Board Meeting - 09/12/17,Planning Board Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
09-11-17-city_council_workshop-agenda,09/11/17,City Council Workshop - 09/11/17,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
09-05-17-city_council_meeting-agenda,09/05/17,City Council Meeting - 09/05/17,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
08-28-17-city_council_workshop-agenda,08/28/17,City Council Workshop - 08/28/17,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
08-21-17-city_council_meeting-agenda,08/21/17,City Council Meeting - 08/21/17,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
08-21-17-city_council_meeting-minutes,08/21/17,City Council Meeting - 08/21/17,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
08-15-17-zoning_board_of_appeals_meeting-agenda,08/15/17,Zoning Board of Appeals Meeting - 08/15/17,Zoning Board of Appeals Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
08-15-17-zoning_board_of_appeals_meeting-minutes,08/15/17,Zoning Board of Appeals Meeting - 08/15/17,Zoning Board of Appeals Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
08-14-17-city_council_workshop-agenda,08/14/17,City Council Workshop - 08/14/17,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
08-08-17-planning_board_meeting-agenda,08/08/17,Planning Board Meeting - 08/08/17,Planning Board Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
08-08-17-planning_board_meeting-minutes,08/08/17,Planning Board Meeting - 08/08/17,Planning Board Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
08-07-17-city_council_meeting-agenda,08/07/17,City Council Meeting - 08/07/17,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
08-07-17-city_council_meeting-minutes,08/07/17,City Council Meeting - 08/07/17,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
07-31-17-city_council_workshop-agenda,07/31/17,City Council Workshop - 07/31/17,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
07-18-17-zoning_board_of_appeals_meeting-agenda,07/18/17,Zoning Board of Appeals Meeting - 07/18/17,Zoning Board of Appeals Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
07-18-17-zoning_board_of_appeals_meeting-minutes,07/18/17,Zoning Board of Appeals Meeting - 07/18/17,Zoning Board of Appeals Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
07-17-17-city_council_meeting-agenda,07/17/17,City Council Meeting - 07/17/17,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
07-17-17-city_council_meeting-minutes,07/17/17,City Council Meeting - 07/17/17,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
07-11-17-planning_board_meeting-agenda,07/11/17,Planning Board Meeting - 07/11/17,Planning Board Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
07-11-17-planning_board_meeting-minutes,07/11/17,Planning Board Meeting - 07/11/17,Planning Board Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
07-10-17-city_council_workshop-agenda,07/10/17,City Council Workshop - 07/10/17,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
07-03-17-city_council_meeting-agenda,07/03/17,City Council Meeting - 07/03/17,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
07-03-17-city_council_meeting-minutes,07/03/17,City Council Meeting - 07/03/17,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
07-03-17-city_council_workshop-agenda,07/03/17,City Council Workshop - 07/03/17,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
06-26-17-city_council_workshop-agenda,06/26/17,City Council Workshop - 06/26/17,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
06-20-17-zoning_board_of_appeals_meeting-agenda,06/20/17,Zoning Board of Appeals Meeting - 06/20/17,Zoning Board of Appeals Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
06-20-17-zoning_board_of_appeals_meeting-minutes,06/20/17,Zoning Board of Appeals Meeting - 06/20/17,Zoning Board of Appeals Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
06-19-17-city_council_meeting-agenda,06/19/17,City Council Meeting - 06/19/17,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
06-19-17-city_council_meeting-minutes,06/19/17,City Council Meeting - 06/19/17,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
06-13-17-planning_board_meeting-agenda,06/13/17,Planning Board Meeting - 06/13/17,Planning Board Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
06-12-17-city_council_workshop-agenda,06/12/17,City Council Workshop - 06/12/17,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
06-05-17-city_council_meeting-agenda,06/05/17,City Council Meeting - 06/05/17,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
06-05-17-city_council_meeting-minutes,06/05/17,City Council Meeting - 06/05/17,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
05-30-17-city_council_workshop-agenda,05/30/17,City Council Workshop - 05/30/17,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
05-16-17-zoning_board_of_appeals_meeting-agenda,05/16/17,Zoning Board of Appeals Meeting - 05/16/17,Zoning Board of Appeals Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
05-16-17-zoning_board_of_appeals_meeting-minutes,05/16/17,Zoning Board of Appeals Meeting - 05/16/17,Zoning Board of Appeals Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
05-15-17-city_council_meeting-agenda,05/15/17,City Council Meeting - 05/15/17,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
05-15-17-city_council_meeting-minutes,05/15/17,City Council Meeting - 05/15/17,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
05-09-17-planning_board_meeting-agenda,05/09/17,Planning Board Meeting - 05/09/17,Planning Board Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
05-09-17-planning_board_meeting-minutes,05/09/17,Planning Board Meeting - 05/09/17,Planning Board Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
05-08-17-city_council_workshop-agenda,05/08/17,City Council Workshop - 05/08/17,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
05-01-17-city_council_meeting-agenda,05/01/17,City Council Meeting - 05/01/17,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
05-01-17-city_council_meeting-minutes,05/01/17,City Council Meeting - 05/01/17,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
04-24-17-city_council_workshop-agenda,04/24/17,City Council Workshop - 04/24/17,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
04-18-17-zoning_board_of_appeals_meeting-agenda,04/18/17,Zoning Board of Appeals Meeting - 04/18/17,Zoning Board of Appeals Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
04-18-17-zoning_board_of_appeals_meeting-minutes,04/18/17,Zoning Board of Appeals Meeting - 04/18/17,Zoning Board of Appeals Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
04-17-17-city_council_meeting-agenda,04/17/17,City Council Meeting - 04/17/17,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
04-17-17-city_council_meeting-minutes,04/17/17,City Council Meeting - 04/17/17,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
04-11-17-planning_board_meeting-agenda,04/11/17,Planning Board Meeting - 04/11/17,Planning Board Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
04-11-17-planning_board_meeting-minutes,04/11/17,Planning Board Meeting - 04/11/17,Planning Board Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
04-10-17-city_council_workshop-agenda,04/10/17,City Council Workshop - 04/10/17,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
04-03-17-city_council_meeting-agenda,04/03/17,City Council Meeting - 04/03/17,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
04-03-17-city_council_meeting-minutes,04/03/17,City Council Meeting - 04/03/17,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
03-27-17-city_council_workshop-agenda,03/27/17,City Council Workshop - 03/27/17,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
03-22-17-planning_board_meeting-agenda,03/22/17,Planning Board Meeting - 03/22/17,Planning Board Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
03-22-17-planning_board_meeting-minutes,03/22/17,Planning Board Meeting - 03/22/17,Planning Board Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
03-21-17-zoning_board_of_appeals_meeting-agenda,03/21/17,Zoning Board of Appeals Meeting - 03/21/17,Zoning Board of Appeals Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
03-21-17-zoning_board_of_appeals_meeting-minutes,03/21/17,Zoning Board of Appeals Meeting - 03/21/17,Zoning Board of Appeals Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
03-20-17-city_council_meeting-agenda,03/20/17,City Council Meeting - 03/20/17,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
03-20-17-city_council_meeting-minutes,03/20/17,City Council Meeting - 03/20/17,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
03-13-17-city_council_workshop-agenda,03/13/17,City Council Workshop - 03/13/17,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
03-06-17-city_council_meeting-agenda,03/06/17,City Council Meeting - 03/06/17,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
03-06-17-city_council_meeting-minutes,03/06/17,City Council Meeting - 03/06/17,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
02-27-17-city_council_workshop-agenda,02/27/17,City Council Workshop - 02/27/17,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
02-22-17-zoning_board_of_appeals_meeting-agenda,02/22/17,Zoning Board of Appeals Meeting - 02/22/17,Zoning Board of Appeals Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
02-22-17-zoning_board_of_appeals_meeting-minutes,02/22/17,Zoning Board of Appeals Meeting - 02/22/17,Zoning Board of Appeals Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
02-21-17-city_council_meeting-agenda,02/21/17,City Council Meeting - 02/21/17,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
02-21-17-city_council_meeting-minutes,02/21/17,City Council Meeting - 02/21/17,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
02-15-17-planning_board_meeting-agenda,02/15/17,Planning Board Meeting - 02/15/17,Planning Board Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
02-15-17-planning_board_meeting-minutes,02/15/17,Planning Board Meeting - 02/15/17,Planning Board Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
02-14-17-city_council_workshop-agenda,02/14/17,City Council Workshop - 02/14/17,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
02-06-17-city_council_meeting-agenda,02/06/17,City Council Meeting - 02/06/17,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
02-06-17-city_council_meeting-minutes,02/06/17,City Council Meeting - 02/06/17,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
01-30-17-city_council_workshop-agenda,01/30/17,City Council Workshop - 01/30/17,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
01-18-17-zoning_board_of_appeals_meeting-agenda,01/18/17,Zoning Board of Appeals Meeting - 01/18/17,Zoning Board of Appeals Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
01-18-17-zoning_board_of_appeals_meeting-minutes,01/18/17,Zoning Board of Appeals Meeting - 01/18/17,Zoning Board of Appeals Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
01-17-17-city_council_meeting-agenda,01/17/17,City Council Meeting - 01/17/17,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
01-17-17-city_council_meeting-minutes,01/17/17,City Council Meeting - 01/17/17,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
01-10-17-planning_board_meeting-agenda,01/10/17,Planning Board Meeting - 01/10/17,Planning Board Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
01-10-17-planning_board_meeting-minutes,01/10/17,Planning Board Meeting - 01/10/17,Planning Board Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
01-09-17-city_council_workshop-agenda,01/09/17,City Council Workshop - 01/09/17,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
01-03-17-city_council_meeting-agenda,01/03/17,City Council Meeting - 01/03/17,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
01-03-17-city_council_meeting-minutes,01/03/17,City Council Meeting - 01/03/17,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
01-02-17-city_council_workshop-agenda,01/02/17,City Council Workshop - 01/02/17,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
12-20-16-zoning_board_of_appeals_meeting-agenda,12/20/16,Zoning Board of Appeals Meeting - 12/20/16,Zoning Board of Appeals Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
12-19-16-city_council_meeting-agenda,12/19/16,City Council Meeting - 12/19/16,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
12-19-16-city_council_meeting-minutes,12/19/16,City Council Meeting - 12/19/16,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
12-13-16-planning_board_meeting-agenda,12/13/16,Planning Board Meeting - 12/13/16,Planning Board Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
12-13-16-planning_board_meeting-minutes,12/13/16,Planning Board Meeting - 12/13/16,Planning Board Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
12-12-16-city_council_workshop-agenda,12/12/16,City Council Workshop - 12/12/16,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
12-05-16-city_council_meeting-agenda,12/05/16,City Council Meeting - 12/05/16,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
12-05-16-city_council_meeting-minutes,12/05/16,City Council Meeting - 12/05/16,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
11-28-16-city_council_workshop-agenda,11/28/16,City Council Workshop - 11/28/16,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
11-21-16-city_council_meeting-agenda,11/21/16,City Council Meeting - 11/21/16,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
11-21-16-city_council_meeting-minutes,11/21/16,City Council Meeting - 11/21/16,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
11-15-16-zoning_board_of_appeals_meeting-agenda,11/15/16,Zoning Board of Appeals Meeting - 11/15/16,Zoning Board of Appeals Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
11-15-16-zoning_board_of_appeals_meeting-minutes,11/15/16,Zoning Board of Appeals Meeting - 11/15/16,Zoning Board of Appeals Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
11-14-16-city_council_workshop-agenda,11/14/16,City Council Workshop - 11/14/16,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
11-09-16-planning_board_meeting-agenda,11/09/16,Planning Board Meeting - 11/09/16,Planning Board Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
11-09-16-planning_board_meeting-minutes,11/09/16,Planning Board Meeting - 11/09/16,Planning Board Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
11-07-16-city_council_meeting-agenda,11/07/16,City Council Meeting - 11/07/16,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
11-07-16-city_council_meeting-minutes,11/07/16,City Council Meeting - 11/07/16,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
10-24-16-city_council_workshop-agenda,10/24/16,City Council Workshop - 10/24/16,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
10-18-16-zoning_board_of_appeals_meeting-agenda,10/18/16,Zoning Board of Appeals Meeting - 10/18/16,Zoning Board of Appeals Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
10-18-16-zoning_board_of_appeals_meeting-minutes,10/18/16,Zoning Board of Appeals Meeting - 10/18/16,Zoning Board of Appeals Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
10-17-16-city_council_meeting-agenda,10/17/16,City Council Meeting - 10/17/16,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
10-12-16-planning_board_meeting-agenda,10/12/16,Planning Board Meeting - 10/12/16,Planning Board Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
10-12-16-planning_board_meeting-minutes,10/12/16,Planning Board Meeting - 10/12/16,Planning Board Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
10-11-16-city_council_workshop-agenda,10/11/16,City Council Workshop - 10/11/16,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
10-03-16-city_council_meeting-agenda,10/03/16,City Council Meeting - 10/03/16,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
09-26-16-city_council_workshop-agenda,09/26/16,City Council Workshop - 09/26/16,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
09-20-16-zoning_board_of_appeals_meeting-agenda,09/20/16,Zoning Board of Appeals Meeting - 09/20/16,Zoning Board of Appeals Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
09-20-16-zoning_board_of_appeals_meeting-minutes,09/20/16,Zoning Board of Appeals Meeting - 09/20/16,Zoning Board of Appeals Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
09-19-16-city_council_meeting-agenda,09/19/16,City Council Meeting - 09/19/16,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
09-13-16-planning_board_meeting-agenda,09/13/16,Planning Board Meeting - 09/13/16,Planning Board Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
09-13-16-planning_board_meeting-minutes,09/13/16,Planning Board Meeting - 09/13/16,Planning Board Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
09-12-16-city_council_workshop-agenda,09/12/16,City Council Workshop - 09/12/16,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
09-06-16-city_council_meeting-agenda,09/06/16,City Council Meeting - 09/06/16,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
09-06-16-city_council_meeting-minutes,09/06/16,City Council Meeting - 09/06/16,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
08-29-16-city_council_workshop-agenda,08/29/16,City Council Workshop - 08/29/16,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
08-15-16-city_council_meeting-agenda,08/15/16,City Council Meeting - 08/15/16,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
08-15-16-city_council_meeting-minutes,08/15/16,City Council Meeting - 08/15/16,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
08-09-16-planning_board_meeting-agenda,08/09/16,Planning Board Meeting - 08/09/16,Planning Board Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
08-09-16-planning_board_meeting-minutes,08/09/16,Planning Board Meeting - 08/09/16,Planning Board Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
08-08-16-city_council_workshop-agenda,08/08/16,City Council Workshop - 08/08/16,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
08-01-16-city_council_meeting-agenda,08/01/16,City Council Meeting - 08/01/16,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon NY  12508",application/pdf
08-01-16-city_council_meeting-minutes,08/01/16,City Council Meeting - 08/01/16,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon NY  12508",application/pdf
07-25-16-city_council_workshop-agenda,07/25/16,City Council Workshop - 07/25/16,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
07-19-16-zoning_board_of_appeals_meeting-agenda,07/19/16,Zoning Board of Appeals Meeting - 07/19/16,Zoning Board of Appeals Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
07-19-16-zoning_board_of_appeals_meeting-minutes,07/19/16,Zoning Board of Appeals Meeting - 07/19/16,Zoning Board of Appeals Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
07-18-16-city_council_meeting-agenda,07/18/16,City Council Meeting - 07/18/16,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
07-18-16-city_council_meeting-minutes,07/18/16,City Council Meeting - 07/18/16,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
07-12-16-planning_board_meeting-agenda,07/12/16,Planning Board Meeting - 07/12/16,Planning Board Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
07-12-16-planning_board_meeting-minutes,07/12/16,Planning Board Meeting - 07/12/16,Planning Board Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
07-11-16-city_council_workshop-agenda,07/11/16,City Council Workshop - 07/11/16,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
07-05-16-city_council_meeting-agenda,07/05/16,City Council Meeting - 07/05/16,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
07-05-16-city_council_meeting-minutes,07/05/16,City Council Meeting - 07/05/16,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
06-27-16-city_council_workshop-agenda,06/27/16,City Council Workshop - 06/27/16,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
06-21-16-zoning_board_of_appeals_meeting-agenda,06/21/16,Zoning Board of Appeals Meeting - 06/21/16,Zoning Board of Appeals Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
06-21-16-zoning_board_of_appeals_meeting-minutes,06/21/16,Zoning Board of Appeals Meeting - 06/21/16,Zoning Board of Appeals Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
06-20-16-city_council_meeting-agenda,06/20/16,City Council Meeting - 06/20/16,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
06-14-16-planning_board_meeting-agenda,06/14/16,Planning Board Meeting - 06/14/16,Planning Board Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
06-14-16-planning_board_meeting-minutes,06/14/16,Planning Board Meeting - 06/14/16,Planning Board Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
06-13-16-city_council_workshop-agenda,06/13/16,City Council Workshop - 06/13/16,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
06-06-16-city_council_meeting-agenda,06/06/16,City Council Meeting - 06/06/16,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
05-31-16-city_council_workshop-agenda,05/31/16,City Council Workshop - 05/31/16,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
05-17-16-zoning_board_of_appeals_meeting-agenda,05/17/16,Zoning Board of Appeals Meeting - 05/17/16,Zoning Board of Appeals Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
05-17-16-zoning_board_of_appeals_meeting-minutes,05/17/16,Zoning Board of Appeals Meeting - 05/17/16,Zoning Board of Appeals Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
05-16-16-city_council_meeting-agenda,05/16/16,City Council Meeting - 05/16/16,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
05-16-16-city_council_meeting-minutes,05/16/16,City Council Meeting - 05/16/16,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
05-10-16-planning_board_meeting-agenda,05/10/16,Planning Board Meeting - 05/10/16,Planning Board Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
05-10-16-planning_board_meeting-minutes,05/10/16,Planning Board Meeting - 05/10/16,Planning Board Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
05-09-16-city_council_workshop-agenda,05/09/16,City Council Workshop - 05/09/16,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
05-02-16-city_council_meeting-agenda,05/02/16,City Council Meeting - 05/02/16,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
05-02-16-city_council_meeting-minutes,05/02/16,City Council Meeting - 05/02/16,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
04-25-16-city_council_workshop-agenda,04/25/16,City Council Workshop - 04/25/16,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
04-19-16-zoning_board_of_appeals_meeting-agenda,04/19/16,Zoning Board of Appeals Meeting - 04/19/16,Zoning Board of Appeals Meeting,Agenda PDF,Municipal Center - Courtroom,application/pdf
04-18-16-city_council_meeting-agenda,04/18/16,City Council Meeting - 04/18/16,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
04-12-16-planning_board_meeting-agenda,04/12/16,Planning Board Meeting - 04/12/16,Planning Board Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
